ID,CDSEXE,MTREV,NBENF,CDSITFAM,DTADH,CDTMT,CDDEM,DTDEM,ANNEEDEM,CDMOTDEM,CDCATCL,AGEAD,RANGAGEAD,AGEDEM,RANGAGEDEM,RANGDEM,ADH,RANGADH
1,2,0,0,A,04/04/1972,0,2,25/06/2003,2003,DV,21,33,3  31-35,64,9  61-65,5  2003,31,7  30-34
2,2,0,0,A,12/04/1972,0,2,06/07/2005,2005,DV,21,55,7  51-55,88,b  71-+,7  2005,33,7  30-34
3,2,0,0,B,19/07/1972,0,2,14/02/2001,2001,DV,21,39,4  36-40,68,a  66-70,3  2001,29,6  25-29
4,3,0,0,M,28/08/1972,0,2,09/03/2006,2006,DV,21,29,2  26-30,63,9  61-65,8  2006,34,7  30-34
5,2,0,0,A,06/11/1972,0,2,22/03/1999,1999,DV,21,45,5  41-45,72,b  71-+,1  1999,27,6  25-29
6,2,0,0,A,28/12/1972,0,2,07/01/2000,2000,DV,21,28,2  26-30,56,8  56-60,2  2000,28,6  25-29
7,2,0,0,A,25/01/1973,0,2,02/09/2003,2003,DV,21,40,4  36-40,70,a  66-70,5  2003,30,7  30-34
8,3,0,0,A,26/09/1973,0,2,16/07/2004,2004,DV,21,42,5  41-45,73,b  71-+,6  2004,31,7  30-34
9,3,0,0,M,13/08/1974,0,2,31/05/2006,2006,DV,21,36,4  36-40,68,a  66-70,8  2006,32,7  30-34
10,2,0,0,A,16/09/1974,0,2,17/10/2006,2006,DV,21,29,2  26-30,61,9  61-65,8  2006,32,7  30-34
11,3,0,0,A,16/09/1974,0,2,09/03/2006,2006,DV,21,28,2  26-30,60,8  56-60,8  2006,32,7  30-34
12,3,0,0,A,02/12/1974,0,2,02/09/2003,2003,DV,21,39,4  36-40,68,a  66-70,5  2003,29,6  25-29
13,3,0,0,A,14/04/1976,0,2,04/05/2004,2004,DV,21,33,3  31-35,61,9  61-65,6  2004,28,6  25-29
14,3,0,0,M,29/04/1976,0,2,09/06/2004,2004,DV,21,26,2  26-30,54,7  51-55,6  2004,28,6  25-29
15,3,0,0,A,10/06/1976,0,2,03/07/2003,2003,DV,21,53,7  51-55,80,b  71-+,5  2003,27,6  25-29
16,4,0,0,C,03/08/1976,0,2,15/10/2002,2002,DV,21,32,3  31-35,58,8  56-60,4  2002,26,6  25-29
17,2,0,0,M,09/08/1976,0,2,08/12/2004,2004,DV,21,37,4  36-40,65,9  61-65,6  2004,28,6  25-29
18,3,0,0,A,05/10/1976,0,2,26/04/2004,2004,DV,21,35,3  31-35,63,9  61-65,6  2004,28,6  25-29
19,3,0,0,A,04/04/1977,0,2,24/10/2001,2001,DV,21,35,3  31-35,59,8  56-60,3  2001,24,5  20-24
20,2,0,0,A,10/10/1977,0,2,19/05/1999,1999,DV,21,29,2  26-30,51,7  51-55,1  1999,22,5  20-24
21,3,0,0,A,05/12/1977,0,2,16/05/2001,2001,DV,21,28,2  26-30,52,7  51-55,3  2001,24,5  20-24
22,2,0,0,A,09/06/1978,0,2,25/01/2001,2001,DV,21,38,4  36-40,61,9  61-65,3  2001,23,5  20-24
23,3,0,0,A,29/06/1978,0,2,18/04/2003,2003,DV,21,58,8  56-+,83,b  71-+,5  2003,25,6  25-29
24,2,0,0,A,12/10/1978,0,2,12/05/2004,2004,DV,21,40,4  36-40,66,a  66-70,6  2004,26,6  25-29
25,3,0,0,A,21/11/1978,0,2,29/06/2005,2005,DV,21,28,2  26-30,55,7  51-55,7  2005,27,6  25-29
26,3,2683,2,D,18/12/1978,0,2,23/10/2006,2006,DV,21,29,2  26-30,57,8  56-60,8  2006,28,6  25-29
27,3,0,0,A,18/01/1979,0,2,11/10/2000,2000,DV,21,59,8  56-+,80,b  71-+,2  2000,21,5  20-24
28,4,0,0,C,01/03/1979,0,2,27/06/2003,2003,DV,21,29,2  26-30,53,7  51-55,5  2003,24,5  20-24
29,2,0,0,A,30/04/1979,0,2,06/07/2000,2000,DA,40,33,3  31-35,54,7  51-55,2  2000,21,5  20-24
30,2,0,0,A,30/05/1979,0,2,22/10/2001,2001,DV,21,33,3  31-35,55,7  51-55,3  2001,22,5  20-24
31,3,0,0,A,06/12/1979,0,2,05/08/2003,2003,DV,21,35,3  31-35,59,8  56-60,5  2003,24,5  20-24
32,4,0,0,C,09/01/1980,0,2,19/10/2005,2005,DV,21,23,1  19-25,48,6  46-50,7  2005,25,6  25-29
33,4,0,0,C,11/01/1980,0,2,23/01/2006,2006,DV,21,39,4  36-40,65,9  61-65,8  2006,26,6  25-29
34,3,0,0,A,06/02/1980,0,2,02/07/2001,2001,DV,21,31,3  31-35,52,7  51-55,3  2001,21,5  20-24
35,3,0,0,A,29/02/1980,0,2,06/12/2002,2002,DV,21,32,3  31-35,54,7  51-55,4  2002,22,5  20-24
36,3,0,0,A,31/03/1980,0,2,17/05/2002,2002,RA,21,55,7  51-55,77,b  71-+,4  2002,22,5  20-24
37,3,0,0,A,08/05/1980,0,2,19/10/2005,2005,DV,21,39,4  36-40,64,9  61-65,7  2005,25,6  25-29
38,2,2600,0,M,02/06/1980,0,2,14/12/2006,2006,DV,21,34,3  31-35,60,8  56-60,8  2006,26,6  25-29
39,2,0,0,A,02/06/1980,0,2,10/08/1999,1999,DV,21,30,2  26-30,49,6  46-50,1  1999,19,4  15-19
40,3,0,0,A,11/06/1980,2,2,07/03/2001,2001,DV,21,53,7  51-55,74,b  71-+,3  2001,21,5  20-24
41,2,0,0,A,17/06/1980,0,2,09/08/2001,2001,DV,21,48,6  46-50,69,a  66-70,3  2001,21,5  20-24
42,3,0,0,A,17/06/1980,0,2,19/04/1999,1999,DV,21,42,5  41-45,61,9  61-65,1  1999,19,4  15-19
43,2,0,0,A,17/06/1980,0,2,30/06/2003,2003,DV,21,43,5  41-45,66,a  66-70,5  2003,23,5  20-24
44,2,0,0,A,26/09/1980,0,2,09/06/2004,2004,DV,21,50,6  46-50,74,b  71-+,6  2004,24,5  20-24
45,3,0,0,A,26/09/1980,0,2,19/05/2000,2000,DV,21,33,3  31-35,53,7  51-55,2  2000,20,5  20-24
46,2,0,0,A,10/11/1980,0,2,20/05/1999,1999,DV,21,23,1  19-25,42,5  41-45,1  1999,19,4  15-19
47,3,0,0,A,10/11/1980,0,2,23/09/2005,2005,DV,21,35,3  31-35,60,8  56-60,7  2005,25,6  25-29
48,2,0,0,A,21/11/1980,0,2,30/10/2006,2006,DV,21,44,5  41-45,70,a  66-70,8  2006,26,6  25-29
49,3,0,0,A,24/11/1980,0,2,27/05/2004,2004,DV,21,19,1  19-25,43,5  41-45,6  2004,24,5  20-24
50,3,0,0,M,15/12/1980,0,2,21/12/2005,2005,DV,21,44,5  41-45,69,a  66-70,7  2005,25,6  25-29
51,2,0,0,A,27/01/1981,0,2,05/07/1999,1999,DV,21,30,2  26-30,48,6  46-50,1  1999,18,4  15-19
